REF_DATE,NOC Major Group,National Occupational Classification (NOC),Economic region code,Economic region name,Number Employed (thousands)
2006,00,Management occupations,3540,Kitchener-Waterloo-Barrie,65.4
2006,00,Senior management occupations,3540,Kitchener-Waterloo-Barrie,3.6
2006,06,Middle management occupations in retail and wholesale trade and customer services,3540,Kitchener-Waterloo-Barrie,24.5
2006,01,"Business, finance and administration occupations",3540,Kitchener-Waterloo-Barrie,100.3
2006,11,Professional occupations in business and finance,3540,Kitchener-Waterloo-Barrie,16.5
2006,12,Administrative and financial supervisors and administrative occupations,3540,Kitchener-Waterloo-Barrie,25.9
2006,13,"Finance, insurance and related business administrative occupations",3540,Kitchener-Waterloo-Barrie,9.8
2006,14,Office support occupations,3540,Kitchener-Waterloo-Barrie,33.4
2006,15,"Distribution, tracking and scheduling co-ordination occupations",3540,Kitchener-Waterloo-Barrie,14.8
2006,02,Natural and applied sciences and related occupations,3540,Kitchener-Waterloo-Barrie,43.1
2006,21,Professional occupations in natural and applied sciences,3540,Kitchener-Waterloo-Barrie,21.4
2006,22,Technical occupations related to natural and applied sciences,3540,Kitchener-Waterloo-Barrie,21.7
2006,03,Health occupations,3540,Kitchener-Waterloo-Barrie,35.7
2006,30,Professional occupations in nursing,3540,Kitchener-Waterloo-Barrie,8.3
2006,31,Professional occupations in health (except nursing),3540,Kitchener-Waterloo-Barrie,8.7
2006,32,Technical occupations in health,3540,Kitchener-Waterloo-Barrie,10.4
2006,34,Assisting occupations in support of health services,3540,Kitchener-Waterloo-Barrie,8.3
2006,04,"Occupations in education, law and social, community and government services",3540,Kitchener-Waterloo-Barrie,59.0
2006,40,Professional occupations in education services,3540,Kitchener-Waterloo-Barrie,24.0
2006,41,"Professional occupations in law and social, community and government services",3540,Kitchener-Waterloo-Barrie,10.4
2006,42,"Paraprofessional occupations in legal, social, community and education services",3540,Kitchener-Waterloo-Barrie,10.8
2006,43,Occupations in front-line public protection services,3540,Kitchener-Waterloo-Barrie,7.0
2006,44,"Care providers and educational, legal and public protection support occupations",3540,Kitchener-Waterloo-Barrie,6.8
2006,05,"Occupations in art, culture, recreation and sport",3540,Kitchener-Waterloo-Barrie,13.1
2006,51,Professional occupations in art and culture,3540,Kitchener-Waterloo-Barrie,3.7
2006,52,"Technical occupations in art, culture, recreation and sport",3540,Kitchener-Waterloo-Barrie,9.3
2006,06,Sales and service occupations,3540,Kitchener-Waterloo-Barrie,153.8
2006,62,Retail sales supervisors and specialized sales occupations,3540,Kitchener-Waterloo-Barrie,19.3
2006,63,Service supervisors and specialized service occupations,3540,Kitchener-Waterloo-Barrie,20.2
2006,64,Sales representatives and salespersons - wholesale and retail trade,3540,Kitchener-Waterloo-Barrie,27.2
2006,65,Service representatives and other customer and personal services occupations,3540,Kitchener-Waterloo-Barrie,25.6
2006,66,Sales support occupations,3540,Kitchener-Waterloo-Barrie,24.2
2006,67,"Service support and other service occupations, n.e.c.",3540,Kitchener-Waterloo-Barrie,37.4
2006,07,"Trades, transport and equipment operators and related occupations",3540,Kitchener-Waterloo-Barrie,106.2
2006,72,"Industrial, electrical and construction trades",3540,Kitchener-Waterloo-Barrie,43.3
2006,73,Maintenance and equipment operation trades,3540,Kitchener-Waterloo-Barrie,21.2
2006,74,"Other installers, repairers and servicers and material handlers",3540,Kitchener-Waterloo-Barrie,11.3
2006,75,Transport and heavy equipment operation and related maintenance occupations,3540,Kitchener-Waterloo-Barrie,24.7
2006,76,"Trades helpers, construction labourers and related occupations",3540,Kitchener-Waterloo-Barrie,5.7
2006,08,"Natural resources, agriculture and related production occupations",3540,Kitchener-Waterloo-Barrie,9.8
